Incident-ID,Incident Date,Incident Closed Date,Severity,Status,Type,ServiceType,Product Type,Brand,Model,Serial No./CD-Key,Company,ENQ,Problem Date Start,Problem Date End,Data Center,Branch,Customer Support Contact
SR-ES-22-1528,30 Sep 2022 12:29,30 Sep 2022 13:50,Major,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,30 Sep 2022 12:37,30 Sep 2022 13:50,SILA1,AIS,Jariya Moongkheemklang
SR-ES-22-1630,03 Oct 2022 09:03,04 Oct 2022 19:59,Minor,Closed,General Incident,Incident,Software,TrendMicro,Apex One Endpoint,ApexOne10001,AIS,ENQ/65-271,03 Oct 2022 09:15,04 Oct 2022 19:59,SILA1,AIS,Montri Lapkit
SR-ES-22-1625,03 Oct 2022 11:30,03 Oct 2022 16:11,Major,Closed,General Incident,Incident,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,03 Oct 2022 11:53,03 Oct 2022 16:11,SILA1,AIS,Jariya Moongkheemklang
SR-ES-22-1626,03 Oct 2022 13:17,07 Oct 2022 11:20,Minor,Closed,Network Adapter Failure,Incident,Storage,NetApp,FAS8200,451835000078,AIS,ENQ/65-271,03 Oct 2022 13:24,07 Oct 2022 11:20,TLS1,AIS,ITCO
SR-ES-22-1629,03 Oct 2022 18:31,,Minor,In Progress,General Incident,Incident,Software,TrendMicro,Deep security,DSM32,AIS,ENQ/65-271,03 Oct 2022 19:24,,TLS1,AIS,Ekapong Prompa
SR-ES-22-1631,04 Oct 2022 09:30,,Minor,On Hold,General Incident,Incident,Storage,NetApp,FAS8020,451608000205,AIS,ENQ/65-271,04 Oct 2022 09:37,,TLS1,AIS,Natthanathorn Sadchuen
SR-ES-22-1637,05 Oct 2022 09:55,05 Oct 2022 19:15,Cosmatic,Closed,General Incident,Request,Software,VMWare,VMware vCenter Server 6 Standard for vSphere 6 (PerInstance),vCenter6STD2_1,AIS,ENQ/65-271,05 Oct 2022 09:59,05 Oct 2022 19:15,TLS1,AIS,Montri Lapkit
SR-ES-22-1639,05 Oct 2022 10:38,05 Oct 2022 20:01,Minor,Closed,General Incident,Incident,Storage,NetApp,FAS8020,451548000236,AIS,ENQ/65-271,05 Oct 2022 15:35,05 Oct 2022 15:35,SILA1,AIS,Yuthapong Yingyongworachat
SR-ES-22-1638,05 Oct 2022 11:53,05 Oct 2022 12:52,Cosmatic,Closed,General Incident,Request,Software,VMWare,vRealize Automation Advanced Per OSI,vRA1300,AIS,ENQ/65-271,05 Oct 2022 12:17,05 Oct 2022 12:52,SILA1,AIS,Anan Sasithonchaidech
SR-ES-22-1640,06 Oct 2022 05:24,06 Oct 2022 11:06,Major,Closed,Hard Disk Drive Failure,Incident,Storage,NetApp,FAS8020,451445000181,AIS,ENQ/65-271,06 Oct 2022 05:59,06 Oct 2022 11:06,SUK,AIS,Chittaphol Nuntiganon
