Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-05-25 08:02:33,ETHBUSD,BUY,1962,0.0056,10.9872,0,BNB
2022-05-25 13:54:00,ETHBUSD,SELL,1965.13,0.0055,10.808215,0,BNB
2022-05-26 11:29:46,ETHBUSD,SELL,1814.13,0.0095,17.234235,0,BNB
2022-05-26 11:38:31,BNBBUSD,SELL,310,0.035,10.85,0.00002623,BNB
2022-05-26 12:12:51,SOLBUSD,SELL,44,0.49,21.56,0,BNB
2022-05-26 12:40:10,BNBBUSD,SELL,306.4,0.033,10.1112,0.00002469,BNB
2022-05-26 12:41:06,ETHBUSD,SELL,1796.26,0.0095,17.06447,0.00004175,BNB
2022-05-26 12:41:06,AVAXBUSD,SELL,23.89,0.44,10.5116,0.00002571,BNB
2022-05-26 12:41:06,AVAXBUSD,SELL,23.89,0.43,10.2727,0.00002513,BNB
2022-05-26 13:11:32,MATICBUSD,SELL,0.591,18.8,11.1108,0.00002726,BNB
2022-05-26 13:12:15,BTCUSDT,SELL,28795,0.00065,18.71675,0.00004587,BNB
2022-05-26 13:15:53,AVAXBUSD,SELL,23.34,0.74,17.2716,0.00004284,BNB
2022-05-26 15:03:00,ETHBUSD,SELL,1866,0.0058,10.8228,0,
2022-05-26 15:07:05,BNBBUSD,SELL,315,0.038,11.97,0,
2022-05-27 07:13:27,ETHBUSD,SELL,1775,0.0079,14.0225,0,
2022-05-27 07:25:06,BNBBUSD,SELL,299,0.038,11.362,0,
2022-05-27 10:52:08,BNBBUSD,SELL,299.3,0.034,10.1762,0.00002547,
2022-05-27 16:30:22,ETHBUSD,SELL,1745.81,0.0062,10.824022,0.00002697,
2022-05-27 16:30:22,ETHBUSD,SELL,1745.79,0.0027,4.713633,0.00001173,
2022-05-28 19:46:18,SOLBUSD,SELL,44,0.4,17.6,0,
2022-06-01 14:36:44,MATICBUSD,BUY,0.625,22.4,14,0,BNB
2022-06-01 14:36:22,BNBBUSD,BUY,312.5,0.038,11.875,0,BNB
2022-06-01 14:35:06,BTCBUSD,BUY,31222,0.00038,11.86436,0,BNB
2022-06-01 14:35:06,BTCBUSD,BUY,31222,0.00035,10.9277,0,BNB
2022-06-01 04:09:20,SOLUSDT,SELL,44.55,0.23,10.2465,0.00002406,BNB
2022-06-01 04:02:55,MATICBUSD,BUY,0.65,16.6,10.79,0.00002523,BNB
2022-05-31 14:06:39,ETHBUSD,BUY,1931,0.0073,14.0963,0,BNB
2022-05-31 13:40:02,SOLBUSD,BUY,45.25,0.31,14.0275,0,BNB
2022-05-31 06:38:50,ETHBUSD,BUY,1961,0.0086,16.8646,0,BNB
2022-05-31 04:23:34,USDCBUSD,SELL,1,50.01,50.01,0,BNB
2022-05-30 13:20:01,SOLBUSD,BUY,45,0.31,13.95,0,BNB
2022-05-30 12:28:50,ETHBUSD,BUY,1881,0.0075,14.1075,0,BNB
2022-05-30 12:19:31,BNBBUSD,BUY,319.1,0.047,14.9977,0.00003525,BNB
2022-05-30 12:14:35,BTCBUSD,BUY,30741.19,0.00014,4.3037666,0.00001015,BNB
2022-05-30 12:14:35,BTCBUSD,BUY,30741.13,0.00045,13.8335085,0.00003264,BNB
2022-05-30 12:11:21,SOLBUSD,BUY,46.18,0.23,10.6214,0.00002508,BNB
2022-05-30 11:40:28,USDCBUSD,SELL,1,73.77,73.77,0,BNB
